name;hue;saturation;luminosity
Spanish sky blue;180;100;50
Teal;180;100;25
Warm black;180;100;13
Dark turquoise;181;100;41
Viridian green;181;100;30
Cadet blue;182;26;50
Metallic Seaweed;186;87;29
Midnight green;187;100;16
Powder blue;187;52;80
Blizzard blue;188;66;80
Ming;188;40;35
Outer space;189;13;20
Blue;190;100;34
Middle blue;190;68;70
Sky blue;190;73;69
Pacific blue;191;76;45
Vivid sky blue;192;100;50
Cyan;193;100;46
Non-photo blue;193;67;79
Cerulean;194;76;48
Deep Space Sparkle;194;19;36
Teal blue;194;43;37
Tourmaline;194;17;50
Capri;195;100;50
Deep sky blue;195;100;50
Light blue;195;53;79
Maximum blue;195;57;54
Onyx;195;4;22
Cerulean;196;100;33
Weezy Blue;196;79;45
Blue;197;100;37
Blue sapphire;197;75;29
Sky blue;197;71;73
Baby blue;199;77;74
Dark sky blue;199;47;69
Gunmetal;200;15;19
Pewter Blue;200;23;63
Silver sand;200;2;75
Star command blue;200;100;36
Light cornflower blue;201;67;75
Columbia Blue;202;56;82
Uranian blue;202;78;82
French blue;203;100;37
Honolulu blue;203;100;35
Indigo dye;203;100;21
Light sky blue;203;92;75
Sapphire blue;203;100;32
Spanish blue;203;100;36
Carolina blue;204;59;58
Charcoal;204;19;26
Green-blue;204;67;47
Air;205;39;60
Cadet grey;205;16;63
Maya blue;205;94;72
Pale cerulean;205;55;75
Prussian blue;205;100;16
Aero;206;70;70
Beau blue;206;46;82
Blue jeans;206;79;65
Dark electric blue;206;18;40
Pale aqua;206;46;82
Paynes grey;206;18;40
Iceberg;207;52;63
Rich black;207;90;4
Steel blue;207;44;49
True Blue;207;100;41
Alice blue;208;100;97
Cerulean frost;208;42;60
Baby blue eyes;209;74;79
Black coral;209;14;38
Green-blue;209;83;39
USAFA blue;209;100;30
Azure;210;100;50
Bleu de France;210;79;55
Blue-gray;210;50;60
Bright navy blue;210;79;46
Dodger blue;210;100;56
Lapis lazuli;210;61;38
Light slate gray;210;14;53
Livid;210;50;60
Navy blue;210;79;46
Rich black;210;50;1
Slate gray;210;13;50
Tufts blue;210;71;56
Yale Blue;210;100;21
Queen blue;211;38;42
French sky blue;212;99;73
Little boy blue;212;62;64
Oxford blue;212;100;14
Denim;213;80;41
Light steel blue;214;41;78
Shadow blue;214;20;56
Bdazzled blue;215;53;38
Sapphire;215;56;40
Glaucous;216;37;55
Sapphire;216;85;39
United Nations blue;216;73;63
Blue;217;99;56
Blue yonder;217;35;48
Cornflower blue;219;79;66
Royal blue;219;100;20
YInMn Blue;219;52;37
Roman silver;221;8;55
Blue;222;100;33
Han blue;223;59;54
Periwinkle;223;41;83
Bluetiful;224;78;57
Cerulean blue;224;64;46
Resolution blue;224;100;26
Royal blue;225;73;57
Space cadet;226;47;22
Wild blue yonder;226;33;73
Denim blue;227;69;42
Light periwinkle;228;32;83
Ultramarine blue;228;90;61
Cool grey;229;16;61
Persian blue;229;74;42
Violet-blue;229;56;45
Neon blue;230;100;64
Blue;231;100;33
Independence;231;18;36
Manatee;231;10;63
Phthalo blue;233;100;27
Zaffre;233;100;33
Liberty;236;33;49
Purple navy;236;24;40
St Patricks blue;236;55;31
Blue;240;100;50
Blue;240;50;40
Blue bell;240;33;73
Duke blue;240;100;31
Ghost white;240;100;99
Lavender;240;67;94
Lavender blue;240;100;90
Maximum blue purple;240;54;79
Medium blue;240;100;40
Midnight blue;240;64;27
Navy blue;240;100;25
Periwinkle;240;100;90
Cosmic cobalt;241;50;36
Rhythm;242;13;53
International Klein Blue;244;87;30
Picotee blue;244;55;34
Ultramarine;244;87;30
Iris;245;57;56
Lavender gray;245;12;79
Violet-blue;246;45;61
Majorelle blue;247;67;59
Dark slate blue;248;39;39
Slate blue;248;54;58
Trypan Blue;248;95;36
Medium slate blue;249;80;67
Plump Purple;251;44;49
Han purple;255;96;54
Silver;255;2;67
Persian indigo;258;74;27
Medium purple;260;60;65
Middle blue purple;260;37;60
Paua;260;100;18
Cyber grape;263;31;37
Spanish violet;264;53;33
Indigo;266;100;26
Purple;266;55;33
Royal purple;267;35;49
Purple mountain majesty;269;30;59
Amethyst;270;50;60
Rebecca Purple;270;49;40
Russian violet;270;54;20
Violet;270;100;50
Blue-violet;271;76;53
Electric violet;274;100;50
Violet;274;100;50
Lavender;275;57;68
Purple;275;100;37
Mauve;276;100;85
Purple;277;87;53
Veronica;277;87;53
Vivid violet;277;100;50
Languid lavender;278;22;83
Seance;278;61;33
French violet;279;94;42
Dark orchid;280;61;50
Wisteria;281;46;75
Dark violet;282;100;41
Eminence;284;46;35
Bright lilac;285;75;75
Electric purple;285;100;50
Glossy grape;285;18;64
Purple Plum;285;41;52
Heliotrope;286;100;73
Violet;286;99;35
African violet;288;31;63
Medium orchid;288;59;58
Purple;288;100;39
Purpureus;288;38;49
English violet;289;21;30
French lilac;290;19;47
Maximum purple;290;43;35
Pomp and Power;290;19;47
Dark purple;291;35;15
Phlox;292;100;50
Psychedelic purple;292;100;50
Chinese violet;296;17;46
Dark magenta;300;100;27
Finn;300;37;30
French mauve;300;53;64
Fuchsia;300;100;50
Fuchsia;300;47;54
Lilac;300;26;71
Magenta;300;100;50
Midnight;300;49;29
Pale purple;300;67;94
Patriarch;300;100;25
Plum;300;47;75
Purple;300;100;25
Raisin black;300;4;14
Shocking pink;300;100;72
Steel pink;300;60;50
Thistle;300;24;80
Ultra pink;300;100;72
Violet;300;76;72
Mardi Gras;301;100;27
Orchid;302;59;65
Secret;302;28;36
Heliotrope gray;303;10;63
Rose quartz;303;10;63
Old lavender;304;8;44
Japanese violet;307;29;28
Plum;307;35;41
Palatinate purple;308;44;28
Razzmic Berry;308;29;43
Byzantine;311;58;47
Byzantium;311;46;30
